seed_qid,from,to,type,from_name,to_name
Q312556,Q92464290,Q97749941,spouse,Jacklyn Gise,Ted Jorgensen
Q312556,Q92464290,Q97749941,spouse_p26,Jacklyn Gise,Ted Jorgensen
Q5284,Q454928,Q684014,spouse,Mary Maxwell Gates,William H. Gates senior
Q5284,Q454928,Q684014,spouse_p26,Mary Maxwell Gates,William H. Gates senior
